"","X","zdjecie","spojnosc","gra_zauf","zaufanie","pyt_1","pyt_2","pyt_3","pyt_4","skala"
"1",1,"A","N",28.1575342465753,3.09727626459144,3.85036496350365,2.95255474452555,2.7956204379562,2.93795620437956,3.13412408759124
"2",2,"B","N",35.9,3.375,3.51677852348993,2.61744966442953,2.53020134228188,2.57718120805369,2.81040268456376
"3",3,"C","N",32.94,3.38671875,4.83221476510067,4.90939597315436,4.87919463087248,4.90268456375839,4.88087248322148
"4",4,"D","N",24.7527272727273,2.83520599250936,4.5,4.15492957746479,4.10915492957746,4.12676056338028,4.22271126760563
"5",5,"E","N",31.1133651551313,3.15375153751538,3.36531365313653,3.09963099630996,3.05043050430504,3.06150061500615,3.14421894218942
"6",6,"F","N",35.768,3.3359375,3.44630872483221,2.93624161073825,2.78187919463087,2.92281879194631,3.02181208053691
"7",7,"G","N",32.0445205479452,3.50972762645914,4.88321167883212,3.92700729927007,3.83211678832117,3.85036496350365,4.12317518248175
"8",8,"H","N",52.28,3.9140625,3.44630872483221,2.87919463087248,2.74161073825503,2.71476510067114,2.94546979865772
"9",9,"I","N",64.648,5.25390625,3.45302013422819,2.75838926174497,2.56375838926175,2.5503355704698,2.83137583892617
"10",10,"J","N",26.0171232876712,2.94941634241245,3.04379562043796,2.90510948905109,2.95985401459854,2.94160583941606,2.96259124087591
"11",11,"K","N",25.2029520295203,2.54325259515571,3.50588235294118,2.70196078431373,2.66666666666667,2.68627450980392,2.89019607843137
"12",12,"L","N",34.0909090909091,3.59176029962547,5.30985915492958,5.16197183098592,5.1056338028169,5.19366197183099,5.19278169014085
"13",13,"M","N",25.2397260273973,2.69649805447471,4.35401459854015,4.04379562043796,3.85766423357664,3.77737226277372,4.00821167883212
"14",14,"N","N",36.8007380073801,3.21107266435986,4.62745098039216,4.43529411764706,4.13725490196078,4.40392156862745,4.40098039215686
"15",15,"O","N",33.7047970479705,3.69204152249135,3.23921568627451,2.93333333333333,2.89803921568627,2.87450980392157,2.98627450980392
"16",16,"P","N",52.7380073800738,3.70588235294118,5.38823529411765,5.30588235294118,5.20392156862745,5.32156862745098,5.30490196078431
"17",17,"R","N",35.4836363636364,3.56928838951311,5.13380281690141,5.01408450704225,4.77464788732394,4.92957746478873,4.96302816901408
"18",18,"A","S",21.872,2.88671875,3.8993288590604,3.52013422818792,3.4261744966443,3.45973154362416,3.57634228187919
"19",19,"B","S",35.722602739726,3.57198443579767,3.9014598540146,3.03649635036496,2.80656934306569,2.84306569343066,3.14689781021898
"20",20,"C","S",35.9315068493151,3.80544747081712,5.68248175182482,5.54014598540146,5.32481751824818,5.42700729927007,5.49361313868613
"21",21,"D","S",23.032,2.9296875,4.30536912751678,4.09060402684564,4.15436241610738,4.20805369127517,4.18959731543624
"22",22,"E","S",28.092,2.97265625,3.41275167785235,3.24496644295302,3.21476510067114,3.23489932885906,3.27684563758389
"23",23,"F","S",39.3390410958904,3.79377431906615,5.65693430656934,5.36496350364964,5.31386861313869,5.37226277372263,5.42700729927007
"24",24,"G","S",31.512,3.81640625,4.91275167785235,4.8993288590604,4.66107382550336,4.76510067114094,4.80956375838926
"25",25,"H","S",51.8047945205479,4.41634241245136,5.48175182481752,5.25182481751825,5.14598540145985,5.29197080291971,5.29288321167883
"26",26,"I","S",66.88,5.72284644194757,5.41197183098592,5.1056338028169,4.91197183098592,4.9612676056338,5.09771126760563
"27",27,"J","S",29.6494464944649,3.17993079584775,3.32549019607843,2.97647058823529,2.94117647058824,3.03529411764706,3.06960784313726
"28",28,"K","S",26.2509090909091,3.04119850187266,5.13028169014085,4.59154929577465,4.17605633802817,4.58450704225352,4.6205985915493
"29",29,"L","S",40.3837638376384,3.94463667820069,5.47058823529412,5.52549019607843,5.57254901960784,5.57647058823529,5.53627450980392
"30",30,"M","S",28.6457564575646,3.03460207612457,4.18823529411765,4.01176470588235,3.98823529411765,4.15294117647059,4.08529411764706
"31",31,"N","S",34.8981818181818,3.51685393258427,5.21478873239437,5.11971830985915,5.12323943661972,5.14788732394366,5.15140845070423
"32",32,"O","S",33.3454545454545,3.73408239700375,4.4330985915493,4.20422535211268,4.21478873239437,4.11971830985915,4.24295774647887
"33",33,"P","S",53.0254545454545,3.35205992509363,5.5387323943662,5.43661971830986,5.45070422535211,5.5,5.48151408450704
"34",34,"R","S",40.2509225092251,4.09688581314879,5.50196078431373,5.48235294117647,5.47843137254902,5.54117647058824,5.50098039215686
